"filename", "language", "AL", "HTTP", "JSON", "alapp", "XML", "comment", "blank", "total"
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.43.app", "alapp", 0, 0, 0, -3478, 0, 0, -15, -3493
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.44.app", "alapp", 0, 0, 0, -3677, 0, 0, -21, -3698
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.48.app", "alapp", 0, 0, 0, 4148, 0, 0, 22, 4170
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7190832.app", "alapp", 0, 0, 0, 4554, 0, 0, 22, 4576
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7190833.app", "alapp", 0, 0, 0, 4139, 0, 0, 22, 4161
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7190835.app", "alapp", 0, 0, 0, 4138, 0, 0, 21, 4159
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7190855.app", "alapp", 0, 0, 0, 4147, 0, 0, 22, 4169
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7191041.app", "alapp", 0, 0, 0, 4137, 0, 0, 22, 4159
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7191132.app", "alapp", 0, 0, 0, 4152, 0, 0, 22, 4174
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7191141.app", "alapp", 0, 0, 0, 4180, 0, 0, 20, 4200
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7191325.app", "alapp", 0, 0, 0, 4204, 0, 0, 17, 4221
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7191330.app", "alapp", 0, 0, 0, 4115, 0, 0, 20, 4135
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7191333.app", "alapp", 0, 0, 0, 4154, 0, 0, 22, 4176
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SnapshotDebugging.al", "AL", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\app.json", "JSON", 0, 0, -1, 0, 0, 0, -4, -5
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.43.app", "alapp", 0, 0, 0, 3478, 0, 0, 15, 3493
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.44.app", "alapp", 0, 0, 0, 3619, 0, 0, 19, 3638
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.45.app", "alapp", 0, 0, 0, 3798, 0, 0, 17, 3815
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.46.app", "alapp", 0, 0, 0, 3875, 0, 0, 22, 3897
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.47.app", "alapp", 0, 0, 0, 4189, 0, 0, 20, 4209
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.48.app", "alapp", 0, 0, 0, 4134, 0, 0, 23, 4157
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\codeunit\CompanyTestDetection.Codeunit.al", "AL", 20, 0, 0, 0, 0, 3, 6, 29
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\codeunit\PIMimages.Codeunit.al", "AL", -2, 0, 0, 0, 0, 0, 1, -1
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\codeunit\ScanpanMiscellaneous.Codeunit.al", "AL", 5, 0, 0, 0, 0, 4, 3, 12
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\codeunit\SubscriberCU.Codeunit.al", "AL", 39, 0, 0, 0, 0, 12, -8, 43
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\codeunit\TESTCU.Codeunit.al", "AL", 3, 0, 0, 0, 0, 3, 7, 13
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\codeunit\TestCompany.Codeunit.al", "AL", -3, 0, 0, 0, 0, -3, -5, -11
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\enum\CampaignStatisticsDocTypes.Enum.al", "AL", 20, 0, 0, 0, 0, 6, 6, 32
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\BankAccountLedgerEntriesExtSC.PageExt.al", "AL", 4, 0, 0, 0, 0, 0, -6, -2
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\BinContentsExtSC.PageExt.al", "AL", 9, 0, 0, 0, 0, 0, -7, 2
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\CDOUnhandledPurchaseOrderExtSC.PageExt.al", "AL", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\CampaignListExtSC.PageExt.al", "AL", 7, 0, 0, 0, 0, 0, 0, 7
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\CustomerCardExtSC.PageExt.al", "AL", 8, 0, 0, 0, 0, 5, 2, 15
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\GeneralJournalExtSC.PageExt.al", "AL", 19, 0, 0, 0, 0, 0, 0, 19
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\GetShipmentLines.PageExt.al", "AL", 17, 0, 0, 0, 0, 8, 7, 32
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\IDYSTransportOrderCard.PageExt.al", "AL", 31, 0, 0, 0, 0, 3, 7, 41
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\ITIIICDocumentLogEntriesExtSC.PageExt.al", "AL", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\ItemJournalExtSC.PageExt.al", "AL", 9, 0, 0, 0, 0, 0, 0, 9
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\MOSLicensePlateContentExtSC.PageExt.al", "AL", 8, 0, 0, 0, 0, 0, 0, 8
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\src\page Ext\NOTOTransferOrderLinesExtSC.PageExt.al", "AL", 4, 0, 0, 0, 0, 0, 0, 4
