"filename", "language", "AL", "HTTP", "Markdown", "JSON", "alapp", "XML", "comment", "blank", "total"
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\README.md", "Markdown", 0, 0, 1, 0, 0, 0, 0, 2, 3
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7261250.app", "alapp", 0, 0, 0, 0, 4144, 0, 0, 27, 4171
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7261348.app", "alapp", 0, 0, 0, 0, 4288, 0, 0, 21, 4309
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7261529.app", "alapp", 0, 0, 0, 0, 4230, 0, 0, 23, 4253
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7271419.app", "alapp", 0, 0, 0, 0, 4224, 0, 0, 18, 4242
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7280914.app", "alapp", 0, 0, 0, 0, 4245, 0, 0, 19, 4264
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.7280956.app", "alapp", 0, 0, 0, 0, 4203, 0, 0, 20, 4223
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\app.json", "JSON", 0, 0, 0, 112, 0, 0, 0, 0, 112
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\docs\info.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 10
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\old_app_codebase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.0.0.app", "alapp", 0, 0, 0, 0, 1520, 0, 0, 4, 1524
