"filename", "language", "JSON", "AL", "alapp", "HTTP", "XML", "Batch", "comment", "blank", "total"
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\CombineAllToOneFile.cmd", "Batch", 0, 0, 0, 0, 0, 11, 5, 7, 23
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8162038.app", "alapp", 0, 0, -4267, 0, 0, 0, 0, -21, -4288
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8170657.app", "alapp", 0, 0, -4275, 0, 0, 0, 0, -19, -4294
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8170718.app", "alapp", 0, 0, -4301, 0, 0, 0, 0, -25, -4326
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.8311500.app", "alapp", 0, 0, -4270, 0, 0, 0, 0, -20, -4290
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.9041135.app", "alapp", 0, 0, -4273, 0, 0, 0, 0, -27, -4300
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.9041427.app", "alapp", 0, 0, -4263, 0, 0, 0, 0, -28, -4291
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.23.9050754.app", "alapp", 0, 0, -4304, 0, 0, 0, 0, -25, -4329
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.24.4021305.app", "alapp", 0, 0, 5502, 0, 0, 0, 0, 30, 5532
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.24.4031415.app", "alapp", 0, 0, 5500, 0, 0, 0, 0, 33, 5533
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.24.4040915.app", "alapp", 0, 0, 5477, 0, 0, 0, 0, 25, 5502
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.24.4101142.app", "alapp", 0, 0, 5433, 0, 0, 0, 0, 28, 5461
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.24.4261306.app", "alapp", 0, 0, 5478, 0, 0, 0, 0, 32, 5510
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.24.5131010.app", "alapp", 0, 0, 5532, 0, 0, 0, 0, 32, 5564
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.24.5291159.app", "alapp", 0, 0, 5507, 0, 0, 0, 0, 32, 5539
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.24.5291202.app", "alapp", 0, 0, 5518, 0, 0, 0, 0, 33, 5551
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.24.5291218.app", "alapp", 0, 0, 5509, 0, 0, 0, 0, 38, 5547
