Date : 2024-05-30 09:07:38
Directory : c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase
Total : 486 files,  894451 codes, 4386 comments, 7652 blanks, all 906489 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| alapp    |        203 |    837,850 |          0 |      4,513 |    842,363 |
| XML      |          3 |     35,179 |          0 |          0 |     35,179 |
| AL       |        270 |     20,766 |      4,381 |      3,092 |     28,239 |
| JSON     |          4 |        349 |          0 |          2 |        351 |
| HTTP     |          4 |        295 |          0 |         36 |        331 |
| Batch    |          1 |         11 |          5 |          7 |         23 |
| Markdown |          1 |          1 |          0 |          2 |          3 |
+----------+------------+------------+------------+------------+------------+

Directories
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                       | files      | code       | comment    | blank      | total      |
+----------------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                          |        486 |    894,451 |      4,386 |      7,652 |    906,489 |
| . (Files)                                                                                                                                                                  |         14 |     49,807 |          5 |        294 |     50,106 |
| docs                                                                                                                                                                       |          1 |         10 |          0 |          0 |         10 |
| old_app_codebase                                                                                                                                                           |        194 |    788,394 |          0 |      4,230 |    792,624 |
| src                                                                                                                                                                        |        274 |     21,061 |      4,381 |      3,128 |     28,570 |
| src\codeunit                                                                                                                                                               |         11 |      2,143 |        950 |        403 |      3,496 |
| src\enum                                                                                                                                                                   |         20 |        355 |        116 |        120 |        591 |
| src\http                                                                                                                                                                   |          4 |        295 |          0 |         36 |        331 |
| src\page                                                                                                                                                                   |         43 |      7,155 |      1,054 |        746 |      8,955 |
| src\page ext                                                                                                                                                               |        101 |      2,702 |      1,076 |        658 |      4,436 |
| src\page ext factbox                                                                                                                                                       |          2 |         65 |         13 |         13 |         91 |
| src\page part                                                                                                                                                              |          7 |        413 |         38 |         81 |        532 |
| src\page part (Files)                                                                                                                                                      |          3 |        413 |         38 |         77 |        528 |
| src\page part\TEST BalanceByCustomer                                                                                                                                       |          4 |          0 |          0 |          4 |          4 |
| src\page role                                                                                                                                                              |          6 |        512 |         78 |         63 |        653 |
