"filename", "language", "AL", "HTTP", "JSON with Comments", "JSON", "Markdown", "alapp", "XML", "Batch", "comment", "blank", "total"
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\CombineAllToOneFile.cmd", "Batch", 0, 0, 0, 0, 0, 0, 0, 11, 5, 7, 23
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\GeneratedPermission.permissionset.al", "AL", 127, 0, 0, 0, 0, 0, 0, 0, 7, 3, 137
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\README.md", "Markdown", 0, 0, 0, 0, 1, 0, 0, 0, 0, 2, 3
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\SCANPAN Internal CodeBase - BC_TEST.code-workspace", "JSON with Comments", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 8
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.24.10311251.app", "alapp", 0, 0, 0, 0, 0, 6742, 0, 0, 0, 44, 6786
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.25.2200759.app", "alapp", 0, 0, 0, 0, 0, 6735, 0, 0, 0, 42, 6777
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.25.3030910.app", "alapp", 0, 0, 0, 0, 0, 6684, 0, 0, 0, 41, 6725
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.25.3041305.app", "alapp", 0, 0, 0, 0, 0, 6848, 0, 0, 0, 35, 6883
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.25.3071326.app", "alapp", 0, 0, 0, 0, 0, 6854, 0, 0, 0, 33, 6887
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\SCANPAN_SCANPAN CODEBASE Internal Development_1.0.25.5071425.app", "alapp", 0, 0, 0, 0, 0, 6919, 0, 0, 0, 33, 6952
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\app.json", "JSON", 0, 0, 0, 132, 0, 0, 0, 0, 0, 0, 132
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\docs\info.json", "JSON", 0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 10
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\ChartBuilder.Codeunit.al", "AL", 477, 0, 0, 0, 0, 0, 0, 0, 104, 109, 690
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\CompanyTestDetection.Codeunit.al", "AL", 22, 0, 0, 0, 0, 0, 0, 0, 9, 12, 43
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\DSVAPI.Codeunit.al", "AL", 368, 0, 0, 0, 0, 0, 0, 0, 302, 97, 767
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\DeleteBackOrders.Codeunit.al", "AL", 21, 0, 0, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\JSONMethods.Codeunit.al", "AL", 20, 0, 0, 0, 0, 0, 0, 0, 1, 7, 28
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\LTSautomate.Codeunit.al", "AL", 59, 0, 0, 0, 0, 0, 0, 0, 21, 6, 86
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\OneTimeSetQuantityUpdate.Codeunit.al", "AL", 26, 0, 0, 0, 0, 0, 0, 0, 6, 4, 36
"c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\src\codeunit\PIMimages.Codeunit.al", "AL", 141, 0, 0, 0, 0, 0, 0, 0, 50, 30, 221
