Date : 2025-06-02 14:21:50
Directory : c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST
Total : 319 files,  112477 codes, 5331 comments, 4279 blanks, all 122087 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
+--------------------+------------+------------+------------+------------+------------+
| XML                |          3 |     44,696 |          0 |          0 |     44,696 |
| alapp              |          6 |     40,782 |          0 |        228 |     41,010 |
| AL                 |        300 |     26,508 |      5,318 |      4,002 |     35,828 |
| HTTP               |          5 |        329 |          8 |         40 |        377 |
| JSON               |          2 |        142 |          0 |          0 |        142 |
| Batch              |          1 |         11 |          5 |          7 |         23 |
| JSON with Comments |          1 |          8 |          0 |          0 |          8 |
| Markdown           |          1 |          1 |          0 |          2 |          3 |
+--------------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                                | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                                   |        319 |    112,477 |      5,331 |      4,279 |    122,087 |
| . (Files)                                                                                                                                                           |         11 |     41,061 |         12 |        240 |     41,313 |
| docs                                                                                                                                                                |          1 |         10 |          0 |          0 |         10 |
| src                                                                                                                                                                 |        304 |     26,710 |      5,319 |      4,039 |     36,068 |
| src\codeunit                                                                                                                                                        |         15 |      3,404 |      1,452 |        685 |      5,541 |
| src\enum                                                                                                                                                            |         24 |        433 |        130 |        141 |        704 |
| src\http                                                                                                                                                            |          5 |        329 |          8 |         40 |        377 |
| src\page                                                                                                                                                            |         50 |      8,992 |      1,144 |        986 |     11,122 |
| src\page ext                                                                                                                                                        |        110 |      3,461 |      1,130 |        769 |      5,360 |
| src\page ext factbox                                                                                                                                                |          2 |         65 |         13 |         13 |         91 |
| src\page part                                                                                                                                                       |          4 |        860 |        179 |        169 |      1,208 |
| src\page role                                                                                                                                                       |          7 |        709 |        120 |         91 |        920 |
| src\query                                                                                                                                                           |          6 |        435 |         45 |         40 |        520 |
| src\report                                                                                                                                                          |         19 |      4,750 |        453 |        712 |      5,915 |
| src\report ext                                                                                                                                                      |          1 |         20 |         22 |         11 |         53 |
| src\table                                                                                                                                                           |         29 |      2,541 |        335 |        250 |      3,126 |
| src\table ext                                                                                                                                                       |         32 |        711 |        288 |        132 |      1,131 |
| translations                                                                                                                                                        |          3 |     44,696 |          0 |          0 |     44,696 |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| filename                                                                                                                                                            | language           | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------------------------------------------+--------------------+------------+------------+------------+------------+
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\CombineAllToOneFile.cmd                                           | Batch              |         11 |          5 |          7 |         23 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\GeneratedPermission.permissionset.al                              | AL                 |        127 |          7 |          3 |        137 |
| c:\Users\jh\OneDrive - Scanpan\Scanpan (7.1.2015)\Development\SCANPAN Internal CodeBase - BC_TEST\README.md                                                         | Markdown           |          1 |          0 |          2 |          3 |
